"" ,"max_rotation" ,"max_translation"
"sp0007" ,35.945033564810842 ,27.474079132080099
"sp0008" ,20.517316658023365 ,20.556594848632820
"sp0009" ,9.975684057570746 ,7.340593338012690
"sp0010" ,4.055575700845135 ,7.442733764648440
"sp0011" ,12.932045921634444 ,7.184775352478030
"sp0013" ,15.297849547877494 ,7.905565261840820
"sp0014" ,22.713257215389447 ,20.618206024169890
"sp0015" ,6.346585884831832 ,7.778392791748040
"sp0016" ,2.991720795800903 ,3.632793426513680
"sp0018" ,2.601757134469962 ,2.209785461425782
"sp0019" ,9.281144400314112 ,16.928718566894531
"sp0022" ,3.128987466233547 ,4.478176116943350
"sp0028" ,6.251420019904309 ,17.936523437500000
"sp0031" ,3.502255065127635 ,8.093120574951170
"sp0032" ,3.653866937764583 ,7.422168731689460
"sp0033" ,7.671272035203486 ,5.122251510620110
"sp0035" ,5.685870266383154 ,8.475582122802731
"sp0039" ,30.657891324103780 ,34.819940567016602
"sp0040" ,2.463624711409299 ,11.049957275390620
"sp0041" ,2.018564557009246 ,1.467271804809570
"sp0048" ,2.199634461960086 ,9.653972625732425
"sp0053" ,12.833098265786539 ,23.650485992431602
"sp0054" ,27.934699185907050 ,36.783073425292898
"sp0057" ,98.449353422228484 ,146.911464691161740
"sp0058" ,6.283292064658319 ,5.494686126708990
"sp0060" ,61.901155414334433 ,107.511811256408222
"sp0061" ,4.112598765112359 ,4.885391235351560
"sp0067" ,12.698951369798166 ,15.354232788085941
"sp0068" ,4.416661605477396 ,7.811685562133790
"sp0071" ,7.213212607890870 ,12.140958786010740
"sp0072" ,2.278183357813893 ,1.224736213684082
"sp0073" ,3.588228648243822 ,3.768447875976560
"sp0074" ,33.040266128217205 ,48.882419586181598
"sp0077" ,90.946529390042045 ,90.228088378906222
"sp0078" ,9.926290933874963 ,15.234439849853519
"sp0079" ,19.473097367671024 ,29.565334320068299
"sp0085" ,9.980885917740135 ,15.615055084228519
"sp0090" ,25.716699364546571 ,42.792837142944300
"sp0091" ,12.299701857573531 ,23.627161026001001
"sp0094" ,0.292720204063669 ,0.263503074645996
"sp0095" ,0.256498151422429 ,0.422838211059571
"sp0096" ,0.432292753276981 ,0.191542625427246
"sp0098" ,0.316406344891111 ,0.128543853759766
"sp0099" ,0.114051936820194 ,0.087464809417725
"sp0100" ,0.394975019179997 ,0.526805877685547
"sp0102" ,81.883652316376043 ,101.014884948730497
"sp0103" ,28.478374420185368 ,33.267026901245096
"sp0106" ,7.658684476359152 ,29.268844604492202
"sp0107" ,64.438490854356388 ,53.134760856628404
"sp0108" ,88.420878204110778 ,123.913082122802422
"sp0111" ,20.173738721507824 ,21.316349029540969
"sp0118" ,103.193634542289672 ,121.507151603698318
"sp0123" ,105.098881960123549 ,86.458102226257324
"sp0124" ,99.412038264811713 ,126.013837814330913
"sp0125" ,42.732209069567304 ,38.552501678466797
"sp0128" ,24.426336452544518 ,36.306425094604499
"sp0137" ,14.332036394284064 ,18.316154479980469
"sp0138" ,13.964302969229511 ,21.441684722900398
"sp0139" ,0.289346528798898 ,0.162992477416990
"sp0142" ,0.352886365355177 ,0.217487335205079
"sp0145" ,1.473177477169661 ,1.408439636230471
"sp0147" ,0.423185718628013 ,1.039354324340820
"sp0149" ,7.638380566102839 ,19.158527374267532
"sp0150" ,0.333793531497671 ,0.239715576171875
"sp0151" ,0.118997565697778 ,0.154827117919922
"sp0155" ,43.869847684914788 ,54.428714752197195
"sp0156" ,8.026915892393548 ,13.773822784423832
"sp0157" ,11.875672942961240 ,26.956804275512699
"sp0158" ,17.560246321701932 ,35.217700958251953
"sp0159" ,16.326561222093048 ,34.408618927002003
"sp0161" ,0.507108953401525 ,0.339630842208862
"sp0162" ,0.852486993086558 ,1.205007553100586
"sp0163" ,0.260407004638481 ,0.278388977050781
"sp0164" ,0.451159527504527 ,0.270199298858643
"sp0165" ,0.564488186022335 ,0.489724874496460
"sp0166" ,0.234343094774164 ,0.220329284667969
