"" ,"perc_overlap_mask" ,"xcorr_vol"
"sp0007" ,1.000000000000000 ,1.000000000000000
"sp0008" ,1.000000000000000 ,1.000000000000000
"sp0009" ,1.000000000000000 ,1.000000000000000
"sp0010" ,1.000000000000000 ,1.000000000000000
"sp0011" ,1.000000000000000 ,1.000000000000000
"sp0013" ,1.000000000000000 ,1.000000000000000
"sp0014" ,1.000000000000000 ,1.000000000000000
"sp0015" ,1.000000000000000 ,1.000000000000000
"sp0016" ,1.000000000000000 ,1.000000000000000
"sp0018" ,1.000000000000000 ,1.000000000000000
"sp0019" ,1.000000000000000 ,1.000000000000000
"sp0022" ,1.000000000000000 ,1.000000000000000
"sp0028" ,1.000000000000000 ,1.000000000000000
"sp0031" ,1.000000000000000 ,1.000000000000000
"sp0032" ,1.000000000000000 ,1.000000000000000
"sp0033" ,1.000000000000000 ,1.000000000000000
"sp0035" ,1.000000000000000 ,1.000000000000000
"sp0039" ,1.000000000000000 ,1.000000000000000
"sp0040" ,1.000000000000000 ,1.000000000000000
"sp0041" ,1.000000000000000 ,1.000000000000000
"sp0048" ,1.000000000000000 ,1.000000000000000
"sp0053" ,1.000000000000000 ,1.000000000000000
"sp0054" ,1.000000000000000 ,1.000000000000000
"sp0057" ,1.000000000000000 ,1.000000000000000
"sp0058" ,1.000000000000000 ,1.000000000000000
"sp0060" ,1.000000000000000 ,1.000000000000000
"sp0061" ,1.000000000000000 ,1.000000000000000
"sp0067" ,1.000000000000000 ,1.000000000000000
"sp0068" ,1.000000000000000 ,1.000000000000000
"sp0071" ,1.000000000000000 ,1.000000000000000
"sp0072" ,1.000000000000000 ,1.000000000000000
"sp0073" ,1.000000000000000 ,1.000000000000000
"sp0074" ,1.000000000000000 ,1.000000000000000
"sp0077" ,1.000000000000000 ,1.000000000000000
"sp0078" ,1.000000000000000 ,1.000000000000000
"sp0079" ,1.000000000000000 ,1.000000000000000
"sp0085" ,1.000000000000000 ,1.000000000000000
"sp0090" ,1.000000000000000 ,1.000000000000000
"sp0091" ,1.000000000000000 ,1.000000000000000
"sp0094" ,1.000000000000000 ,1.000000000000000
"sp0095" ,1.000000000000000 ,1.000000000000000
"sp0096" ,1.000000000000000 ,1.000000000000000
"sp0098" ,1.000000000000000 ,1.000000000000000
"sp0099" ,1.000000000000000 ,1.000000000000000
"sp0100" ,1.000000000000000 ,1.000000000000000
"sp0102" ,1.000000000000000 ,1.000000000000000
"sp0103" ,1.000000000000000 ,1.000000000000000
"sp0106" ,1.000000000000000 ,1.000000000000000
"sp0107" ,1.000000000000000 ,1.000000000000000
"sp0108" ,1.000000000000000 ,1.000000000000000
"sp0111" ,1.000000000000000 ,1.000000000000000
"sp0118" ,1.000000000000000 ,1.000000000000000
"sp0123" ,1.000000000000000 ,1.000000000000000
"sp0124" ,1.000000000000000 ,1.000000000000000
"sp0125" ,1.000000000000000 ,1.000000000000000
"sp0128" ,1.000000000000000 ,1.000000000000000
"sp0137" ,1.000000000000000 ,1.000000000000000
"sp0138" ,1.000000000000000 ,1.000000000000000
"sp0139" ,1.000000000000000 ,1.000000000000000
"sp0142" ,1.000000000000000 ,1.000000000000000
"sp0145" ,1.000000000000000 ,1.000000000000000
"sp0147" ,1.000000000000000 ,1.000000000000000
"sp0149" ,1.000000000000000 ,1.000000000000000
"sp0150" ,1.000000000000000 ,1.000000000000000
"sp0151" ,1.000000000000000 ,1.000000000000000
"sp0155" ,1.000000000000000 ,1.000000000000000
"sp0156" ,1.000000000000000 ,1.000000000000000
"sp0157" ,1.000000000000000 ,1.000000000000000
"sp0158" ,1.000000000000000 ,1.000000000000000
"sp0159" ,1.000000000000000 ,1.000000000000000
"sp0161" ,1.000000000000000 ,1.000000000000000
"sp0162" ,1.000000000000000 ,1.000000000000000
"sp0163" ,1.000000000000000 ,1.000000000000000
"sp0164" ,1.000000000000000 ,1.000000000000000
"sp0165" ,1.000000000000000 ,1.000000000000000
"sp0166" ,1.000000000000000 ,1.000000000000000
"sp0167" ,1.000000000000000 ,1.000000000000000
"sp0170" ,1.000000000000000 ,1.000000000000000
"sp0171" ,1.000000000000000 ,1.000000000000000
"sp0172" ,1.000000000000000 ,1.000000000000000
"sp0173" ,1.000000000000000 ,1.000000000000000
"sp0174" ,1.000000000000000 ,1.000000000000000
"sp0175" ,1.000000000000000 ,1.000000000000000
"sp0177" ,1.000000000000000 ,1.000000000000000
"sp0178" ,1.000000000000000 ,1.000000000000000
"sp0179" ,1.000000000000000 ,1.000000000000000
"sp0181" ,1.000000000000000 ,1.000000000000000
"sp0182" ,1.000000000000000 ,1.000000000000000
"sp0183" ,1.000000000000000 ,1.000000000000000
"sp0195" ,1.000000000000000 ,1.000000000000000
"sp0196" ,1.000000000000000 ,1.000000000000000
"sp0197" ,1.000000000000000 ,1.000000000000000
"sp0198" ,1.000000000000000 ,1.000000000000000
"sp0203" ,1.000000000000000 ,1.000000000000000
"sp0204" ,1.000000000000000 ,1.000000000000000
"sp0206" ,1.000000000000000 ,1.000000000000000
"sp0207" ,1.000000000000000 ,1.000000000000000
"sp0209" ,1.000000000000000 ,1.000000000000000
"sp0210" ,1.000000000000000 ,1.000000000000000
"sp0211" ,1.000000000000000 ,1.000000000000000
"sp0238" ,1.000000000000000 ,1.000000000000000
"sp0241" ,1.000000000000000 ,1.000000000000000
"sp0242" ,1.000000000000000 ,1.000000000000000
"sp0246" ,1.000000000000000 ,1.000000000000000
"sp0251" ,1.000000000000000 ,1.000000000000000
"sp0255" ,1.000000000000000 ,1.000000000000000
"sp0269" ,1.000000000000000 ,1.000000000000000
"sp0270" ,1.000000000000000 ,1.000000000000000
"sp0271" ,1.000000000000000 ,1.000000000000000
"sp0275" ,1.000000000000000 ,1.000000000000000
"sp0276" ,1.000000000000000 ,1.000000000000000
"sp0281" ,1.000000000000000 ,1.000000000000000
"sp0282" ,1.000000000000000 ,1.000000000000000
"sp0283" ,1.000000000000000 ,1.000000000000000
"sp0284" ,1.000000000000000 ,1.000000000000000
"sp0285" ,1.000000000000000 ,1.000000000000000
"sp0286" ,1.000000000000000 ,1.000000000000000
"sp0287" ,1.000000000000000 ,1.000000000000000
"sp0288" ,1.000000000000000 ,1.000000000000000
"sp0293" ,1.000000000000000 ,1.000000000000000
"sp0297" ,1.000000000000000 ,1.000000000000000
"sp0298" ,1.000000000000000 ,1.000000000000000
"sp0299" ,1.000000000000000 ,1.000000000000000
"sp0302" ,1.000000000000000 ,1.000000000000000
"sp0310" ,1.000000000000000 ,1.000000000000000
"sp0315" ,1.000000000000000 ,1.000000000000000
"sp0316" ,1.000000000000000 ,1.000000000000000
"sp0321" ,1.000000000000000 ,1.000000000000000
"sp0329" ,1.000000000000000 ,1.000000000000000
"sp0335" ,1.000000000000000 ,1.000000000000000
"sp0341" ,1.000000000000000 ,1.000000000000000
"sp0343" ,1.000000000000000 ,1.000000000000000
"sp0360" ,1.000000000000000 ,1.000000000000000
"sp0364" ,1.000000000000000 ,1.000000000000000
"sp0365" ,1.000000000000000 ,1.000000000000000
"sp0366" ,1.000000000000000 ,1.000000000000000
"sp0368" ,1.000000000000000 ,1.000000000000000
"sp0372" ,1.000000000000000 ,1.000000000000000
"sp0373" ,1.000000000000000 ,1.000000000000000
"sp0383" ,1.000000000000000 ,1.000000000000000
"sp0392" ,1.000000000000000 ,1.000000000000000
"sp0393" ,1.000000000000000 ,1.000000000000000
"sp0394" ,1.000000000000000 ,1.000000000000000
"sp0395" ,1.000000000000000 ,1.000000000000000
"sp0406" ,1.000000000000000 ,1.000000000000000
"sp0409" ,1.000000000000000 ,1.000000000000000
"sp0410" ,1.000000000000000 ,1.000000000000000
"sp0411" ,1.000000000000000 ,1.000000000000000
"sp0412" ,1.000000000000000 ,1.000000000000000
"sp0416" ,1.000000000000000 ,1.000000000000000
"sp0427" ,1.000000000000000 ,1.000000000000000
"sp0428" ,1.000000000000000 ,1.000000000000000
"sp0431" ,1.000000000000000 ,1.000000000000000
"sp0432" ,1.000000000000000 ,1.000000000000000
"sp0433" ,1.000000000000000 ,1.000000000000000
"sp0434" ,1.000000000000000 ,1.000000000000000
"sp0437" ,0.991537451744080 ,0.995453536510468
"sp0438" ,1.000000000000000 ,1.000000000000000
"sp0449" ,1.000000000000000 ,1.000000000000000
"sp0451" ,1.000000000000000 ,1.000000000000000
"sp0452" ,1.000000000000000 ,1.000000000000000
"sp0453" ,1.000000000000000 ,1.000000000000000
"sp0454" ,1.000000000000000 ,1.000000000000000
"sp0456" ,1.000000000000000 ,1.000000000000000
"sp0464" ,1.000000000000000 ,1.000000000000000
"sp0466" ,1.000000000000000 ,1.000000000000000
